Year,Month,Day,Max of Price,Typical Price,Open/Close,High/Low,Volume,Type
2023,February,8,$150.94,$152.32,1.96,3.40,64120100,Low
2023,February,9,$150.19,$151.64,2.91,3.90,56007100,Low
2023,February,10,$149.22,$150.52,-1.55,2.12,57450700,Low
2023,February,13,$150.92,$153.01,-2.90,3.34,62199000,Low
2023,February,14,$150.86,$152.61,-1.08,2.91,61707600,Low
2023,February,15,$152.88,$154.57,-2.22,2.62,65573800,Low
2023,February,16,$153.35,$154.46,-0.20,2.98,68167900,Low
2023,February,17,$150.85,$152.13,-0.20,2.15,59144100,Low
2023,February,21,$148.41,$149.40,1.72,2.89,58867200,Low
2023,February,22,$147.16,$148.67,-0.04,2.79,51011300,Low
2023,February,23,$147.24,$148.99,0.69,3.10,48394200,Low
2023,February,24,$145.72,$146.54,0.40,1.47,55469600,Low
2023,February,27,$147.45,$148.18,-0.21,1.72,44998500,Low
2023,February,28,$146.83,$147.77,-0.36,2.25,50547000,Low
2023,March,1,$145.01,$145.85,1.52,2.22,55479000,Low
2023,March,2,$143.90,$145.51,-1.53,2.81,52238100,Low
2023,March,3,$147.33,$149.82,-2.99,3.78,70732300,Low
2023,March,6,$153.46,$154.53,-0.04,2.84,87558000,Low
2023,March,7,$151.13,$152.25,2.10,2.90,56182000,Low
2023,March,8,$151.83,$152.72,-0.06,1.64,47204800,Low
2023,March,9,$150.23,$151.79,2.97,4.31,53833600,Low
2023,March,10,$147.61,$149.02,1.71,3.33,68572400,Low
2023,March,13,$147.70,$150.44,-2.66,5.44,84457100,Low
2023,March,14,$150.10,$152.03,-1.31,3.30,73695900,Low
2023,March,15,$149.92,$152.05,-1.80,3.33,77167900,Low
2023,March,16,$151.64,$154.65,-3.69,4.82,76161100,Low
2023,March,17,$154.28,$155.34,1.08,2.46,98944600,Low
2023,March,20,$154.15,$156.46,-2.33,3.67,73641400,Low
2023,March,21,$156.54,$158.41,-1.96,2.86,73938300,Low
2023,March,22,$157.81,$159.26,1.47,4.33,75701800,Low
2023,March,23,$157.68,$159.39,-0.10,3.87,67622100,Low
2023,March,24,$157.85,$159.48,-1.39,2.49,59196500,Low
2023,March,27,$157.87,$158.97,1.66,2.90,52390300,Low
2023,March,28,$155.98,$157.37,0.32,2.51,45992200,Low
2023,March,29,$159.35,$160.39,-1.40,1.70,51305700,Low
2023,March,30,$161.27,$162.03,-0.83,1.20,49501700,Low
2023,March,31,$161.91,$163.94,-2.46,3.09,68694700,Low
2023,April,3,$164.22,$165.56,-1.90,2.07,56976200,Low
2023,April,4,$165.11,$165.86,0.97,1.73,46278300,Low
2023,April,5,$161.80,$163.54,0.98,3.25,51511700,Low
2023,April,6,$162.00,$163.87,-2.23,2.96,45390100,Low
2023,April,10,$160.08,$161.38,-0.61,1.95,47716900,Low
2023,April,11,$160.51,$161.22,1.55,1.85,47644200,Low
2023,April,12,$159.78,$160.65,1.12,2.28,50133100,Low
2023,April,13,$161.42,$164.26,-3.93,4.38,68445600,Low
2023,April,14,$163.82,$165.12,-0.62,2.50,49337200,Low
2023,April,17,$164.03,$164.88,-0.14,1.36,41516200,Low
2023,April,18,$165.65,$166.51,-0.37,1.76,49923000,Low
2023,April,19,$165.54,$167.11,-1.83,2.62,47720200,Low
2023,April,20,$165.56,$166.69,-0.56,2.31,52362900,Low
2023,April,21,$164.49,$165.32,0.03,1.96,58311900,Low
2023,April,24,$163.89,$164.94,-0.33,1.71,41949600,Low
2023,April,25,$163.73,$164.60,1.42,2.58,48714100,Low
2023,April,26,$162.80,$163.95,-0.70,2.48,45498800,Low
2023,April,27,$165.19,$167.39,-3.22,3.37,64728500,Low
2023,January,3,$130.08,$126.52,5.20,6.72,112117500,Open
2023,January,4,$126.70,$126.51,0.53,3.57,89113600,Open
2023,January,5,$126.94,$125.66,2.11,3.01,80962700,Open
2023,January,6,$125.82,$128.07,-3.60,5.39,87754700,Open
2023,January,9,$130.27,$130.95,0.32,3.51,70790800,Open
2023,January,10,$130.06,$129.84,-0.47,3.14,63896200,Open
2023,January,11,$131.05,$132.28,-2.24,3.05,69458900,Open
2023,January,12,$133.68,$132.83,0.47,2.82,71379600,Open
2023,January,13,$131.83,$133.58,-2.73,3.26,57809700,Open
2023,January,17,$134.62,$135.58,-1.11,3.16,63646600,Open
2023,January,18,$136.61,$136.08,1.61,3.57,69672800,Open
2023,January,19,$133.88,$134.89,-1.19,2.48,58280400,Open
2023,January,20,$135.07,$136.49,-2.59,3.79,80223600,Open
2023,January,23,$137.91,$140.56,-2.99,5.41,81760300,Open
2023,January,24,$140.10,$141.78,-2.22,2.86,66435100,Open
2023,January,25,$140.68,$140.82,-0.97,3.61,65799300,Open
2023,January,26,$142.95,$143.15,-0.79,2.35,54105100,Open
2023,January,27,$142.94,$145.19,-2.77,4.14,70555800,Open
2023,January,30,$144.74,$143.58,1.96,2.70,64015300,Open
2023,January,31,$142.48,$143.42,-1.59,2.06,65874500,Open
2023,February,1,$143.75,$144.23,-1.46,5.28,77663600,Open
2023,February,2,$148.67,$149.83,-1.92,3.01,118339000,Open
2023,February,3,$147.80,$153.00,-6.46,9.54,154357300,Open
2023,February,6,$152.34,$151.64,0.84,2.32,69858300,Open
2023,February,7,$150.41,$153.27,-4.00,4.58,83322600,Open
2023,February,8,$153.65,$152.32,1.96,3.40,64120100,Open
2023,February,9,$153.55,$151.64,2.91,3.90,56007100,Open
2023,February,10,$149.46,$150.52,-1.55,2.12,57450700,Open
2023,February,13,$150.95,$153.01,-2.90,3.34,62199000,Open
2023,February,14,$152.12,$152.61,-1.08,2.91,61707600,Open
2023,February,15,$153.11,$154.57,-2.22,2.62,65573800,Open
2023,February,16,$153.51,$154.46,-0.20,2.98,68167900,Open
2023,February,17,$152.35,$152.13,-0.20,2.15,59144100,Open
2023,February,21,$150.20,$149.40,1.72,2.89,58867200,Open
2023,February,22,$148.87,$148.67,-0.04,2.79,51011300,Open
2023,February,23,$150.09,$148.99,0.69,3.10,48394200,Open
2023,February,24,$147.11,$146.54,0.40,1.47,55469600,Open
2023,February,27,$147.71,$148.18,-0.21,1.72,44998500,Open
